@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

nursey,1,10,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1713,11664,1296,1282,14,0,98.919753,1.080247,0,0.984118,0.084695,0.143491,31.010244,38.823388,2234.014981,473.417033,1760.597948,1.723777,0.365291,1.358486,1760.597948,1.358486,102545.352373,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.989198,0.004932,0.995068,0.010802,0.988337,0.989198,0.987884,0.985608,0.999637,0.996533,0.749474,0.989198,0.001,11.432,0,10.625,0,10625,1182578,1180677,133509,100,54.506173,?,1
nursey,2,1,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1713,11664,1296,1275,21,0,98.37963,1.62037,0,0.97612,0.086088,0.145888,31.529378,39.484744,2230.399109,482.9988,1747.400309,1.720987,0.372684,1.348303,1747.400309,1.348303,101758.284352,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983796,0.007549,0.992451,0.016204,0.982846,0.983796,0.981254,0.977873,0.999462,0.995971,0.719661,0.983796,0.002,11.075,0,10.578125,0,10578.125,1182570,1180677,133509,100,54.506173,?,12
nursey,2,2,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1713,11664,1296,1275,21,0,98.37963,1.62037,0,0.976137,0.084641,0.143894,30.99928,38.945064,2230.399109,474.138161,1756.260948,1.720987,0.365847,1.35514,1756.260948,1.35514,102274.275706,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983796,0.007522,0.992478,0.016204,0.982923,0.983796,0.981822,0.977834,0.999486,0.996707,0.730156,0.983796,0.001,9.925,0,9.796875,0,9796.875,1182586,1180677,133509,100,54.41358,?,1
nursey,2,3,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1713,11664,1296,1269,27,0,97.916667,2.083333,0,0.969267,0.08671,0.148156,31.757871,40.099741,2223.34536,488.096706,1735.248654,1.715544,0.376618,1.338926,1735.248654,1.338926,101015.860961,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.979167,0.010093,0.989907,0.020833,0.979932,0.979167,0.976042,0.971295,0.998987,0.997438,0.881397,0.979167,0.001,10.797,0,10.53125,0,10531.25,1182594,1180677,133509,100,54.382716,?,14
nursey,2,4,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1713,11664,1296,1278,18,0,98.611111,1.388889,0,0.979554,0.08689,0.147588,31.823865,39.946025,2223.34536,487.620386,1735.724974,1.715544,0.37625,1.339294,1735.724974,1.339294,101043.589503,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.986111,0.006719,0.993281,0.013889,0.98644,0.986111,0.984757,0.98131,0.999185,0.998159,0.926252,0.986111,0.001,9.983,0,9.828125,0,9828.125,1182578,1180677,133509,100,54.691358,?,1
nursey,2,5,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1713,11664,1296,1276,20,0,98.45679,1.54321,0,0.977257,0.085095,0.144874,31.166984,39.21217,2223.268119,475.623945,1747.644174,1.715485,0.366994,1.348491,1747.644174,1.348491,101737.062844,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.984568,0.007524,0.992476,0.015432,0.985073,0.984568,0.982436,0.979192,0.999235,0.99811,0.906591,0.984568,0,10.696,0,10.40625,0,10406.25,1182586,1180677,133509,100,54.506173,?,13
nursey,2,6,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1714,11664,1296,1278,18,0,98.611111,1.388889,0,0.979573,0.086345,0.146652,31.624893,39.693362,2223.268119,483.055744,1740.212376,1.715485,0.372728,1.342756,1740.212376,1.342756,101304.429393,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.986111,0.006736,0.993264,0.013889,0.986422,0.986111,0.985355,0.981097,0.999548,0.999018,0.942635,0.986111,0.001,10.441,0,10.125,0,10125,1182570,1180677,133509,100,54.583333,?,1
nursey,2,7,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1714,11664,1296,1277,19,0,98.533951,1.466049,0,0.978423,0.087479,0.149421,32.0401,40.442933,2223.268119,491.851703,1731.416416,1.715485,0.379515,1.335969,1731.416416,1.335969,100792.382875,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.98534,0.007115,0.992885,0.01466,0.985704,0.98534,0.984219,0.980128,0.999087,0.997905,0.931344,0.98534,0.001,10.603,0,10.3125,0,10312.5,1182594,1180677,133509,100,54.444444,?,1
nursey,2,8,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1714,11664,1296,1275,21,0,98.37963,1.62037,0,0.976135,0.085706,0.146213,31.39062,39.574523,2223.268119,480.433625,1742.834494,1.715485,0.370705,1.34478,1742.834494,1.34478,101457.072982,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983796,0.007903,0.992097,0.016204,0.98435,0.983796,0.982247,0.978042,0.999336,0.998556,0.918582,0.983796,0,10.738,0,10.34375,0,10343.75,1182578,1180677,133509,100,54.490741,?,1
nursey,2,9,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1714,11664,1296,1274,22,0,98.302469,1.697531,0,0.975007,0.087092,0.147396,31.898367,39.894823,2223.268119,487.730731,1735.537388,1.715485,0.376335,1.339149,1735.537388,1.339149,101032.280463,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983025,0.008252,0.991748,0.016975,0.983543,0.983025,0.981719,0.976846,0.999349,0.998573,0.923889,0.983025,0.001,10.887,0,10.25,0,10250,1182594,1180677,133509,100,55.123457,?,1
nursey,2,10,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1714,11664,1296,1272,24,0,98.148148,1.851852,0,0.972697,0.085207,0.146159,31.207949,39.559884,2223.268119,477.694033,1745.574086,1.715485,0.368591,1.346894,1745.574086,1.346894,101616.555114,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.981481,0.00904,0.99096,0.018519,0.982233,0.981481,0.979083,0.974759,0.999403,0.998688,0.897524,0.981481,0.001,11.211,0,10.546875,0,10546.875,1182570,1180677,133509,100,53.950617,?,14
nursey,3,1,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1714,11664,1296,1275,21,0,98.37963,1.62037,0,0.976131,0.085893,0.146819,31.458774,39.737726,2223.34536,481.930566,1741.414794,1.715544,0.37186,1.343684,1741.414794,1.343684,101374.817011,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983796,0.007799,0.992201,0.016204,0.984154,0.983796,0.981936,0.977982,0.999204,0.998146,0.912383,0.983796,0.001,10.802,0,10.390625,0,10390.625,1182594,1180677,133509,100,54.027778,?,1
