@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 7\nSize of the tree: 9\n','Number of leaves: 11\nSize of the tree: 14\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

balance-scale,5,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,3,59,0,4.83871,95.16129,0,-0.184969,0.391247,0.529209,122.25943,132.296283,143.975628,616.678132,-472.702504,2.322188,9.946421,-7.624234,-15.874775,-0.256045,-683.693299,0.25,3,0.54,27,0.46,23,0.75,9,0.1,0.25,0.142857,-0.229265,0.333333,0.162372,0.048387,0.233693,0.766307,0.951613,0.019355,0.048387,0.02765,-0.195557,0.107209,0.143113,0.028571,0.048387,0,0.001,0,0,0,0,42357,40704,6135,6.451613,58.064516,?,?,?,?
balance-scale,5,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.2074,0.393701,0.5347,123.026259,133.669078,143.975628,627.597804,-483.622176,2.322188,10.122545,-7.800358,-17.23368,-0.277963,-742.218486,0.166667,2,0.44,22,0.56,28,0.833333,10,0.083333,0.166667,0.111111,-0.221703,0.3025,0.15794,0.032258,0.240013,0.759987,0.967742,0.016129,0.032258,0.021505,-0.209481,0.100846,0.141586,0.022222,0.032258,0,0.001,0,0,0,0,42333,40704,6135,4.83871,56.774194,?,?,?,?
balance-scale,6,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,3,60,0,4.761905,95.238095,0,-0.191677,0.391134,0.522211,122.224362,130.546871,146.29757,631.936853,-485.639282,2.322184,10.030744,-7.70856,-16.053624,-0.254819,-691.395942,0.230769,3,0.46,23,0.54,27,0.769231,10,0.115385,0.230769,0.153846,-0.188427,0.266154,0.186339,0.047619,0.238992,0.761008,0.952381,0.02381,0.047619,0.031746,-0.195901,0.104279,0.146528,0.030769,0.047619,0,0.002,0,0,0,0,42408,40635,6204,6.349206,59.68254,?,?,?,?
balance-scale,6,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,3,60,0,4.761905,95.238095,0,-0.189427,0.386097,0.518274,120.650275,129.562879,146.29757,608.999847,-462.702277,2.322184,9.666664,-7.344481,-13.749831,-0.218251,-592.176426,0.230769,3,0.5,25,0.5,25,0.769231,10,0.107143,0.230769,0.146341,-0.219265,0.35,0.171428,0.047619,0.236639,0.763361,0.952381,0.022109,0.047619,0.030197,-0.190995,0.132614,0.141564,0.029268,0.047619,0,0.001,0,0,0,0,42272,40635,6204,11.111111,61.269841,?,?,?,?
balance-scale,6,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,1,62,0,1.587302,98.412698,0,-0.229462,0.395202,0.534637,123.495467,133.653375,146.29757,646.326656,-500.029086,2.322184,10.259153,-7.93697,-17.989208,-0.285543,-774.757519,0.076923,1,0.46,23,0.54,27,0.923077,12,0.041667,0.076923,0.054054,-0.319231,0.285385,0.16477,0.015873,0.245285,0.754715,0.984127,0.008598,0.015873,0.011154,-0.219301,0.116197,0.141222,0.010811,0.015873,0,0.001,0,0,0,0,42272,40635,6204,3.174603,54.920635,?,?,?,?
balance-scale,6,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,6,57,0,9.52381,90.47619,0,-0.133165,0.383827,0.516254,119.940989,129.05782,146.29757,602.471289,-456.173719,2.322184,9.563036,-7.240853,-12.763684,-0.202598,-549.705139,0.307692,4,0.56,28,0.44,22,0.692308,9,0.125,0.307692,0.177778,-0.204236,0.298462,0.173894,0.095238,0.227787,0.772213,0.904762,0.094577,0.095238,0.080126,-0.128172,0.127046,0.145075,0.077661,0.095238,0,0.001,0,0,0,0,42328,40635,6204,12.698413,64.126984,?,?,?,?
balance-scale,6,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,3,60,0,4.761905,95.238095,0,-0.191677,0.394642,0.534692,123.320546,133.667008,146.29757,632.908577,-486.611007,2.322184,10.046168,-7.723984,-18.019309,-0.286021,-776.053895,0.230769,3,0.46,23,0.54,27,0.769231,10,0.115385,0.230769,0.153846,-0.188427,0.389231,0.18042,0.047619,0.238992,0.761008,0.952381,0.02381,0.047619,0.031746,-0.198072,0.135792,0.149903,0.030769,0.047619,0,0.001,0,0,0,0,42264,40635,6204,4.761905,53.968254,?,?,?,?
balance-scale,6,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,5,57,0,8.064516,91.935484,0,-0.14703,0.38446,0.5135,120.138531,128.369163,143.975628,589.441364,-445.465736,2.322188,9.507119,-7.184931,-12.889601,-0.207897,-555.128106,0.416667,5,0.6,30,0.4,20,0.583333,7,0.142857,0.416667,0.212766,-0.146083,0.3925,0.183546,0.080645,0.2284,0.7716,0.919355,0.02765,0.080645,0.041181,-0.169177,0.137867,0.146831,0.042553,0.080645,0,0.001,0,0,0,0,42333,40704,6135,12.903226,63.548387,?,?,?,?
balance-scale,6,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.209756,0.391207,0.532367,122.247098,133.085685,143.975628,616.643535,-472.667907,2.322188,9.945863,-7.623676,-15.98704,-0.257855,-688.528316,0.166667,2,0.46,23,0.54,27,0.833333,10,0.08,0.166667,0.108108,-0.236247,0.2625,0.169058,0.032258,0.242462,0.757538,0.967742,0.015484,0.032258,0.020924,-0.211835,0.109816,0.143445,0.021622,0.032258,0,0.001,0,0.015625,0,15.625,42349,40704,6135,6.451613,58.387097,?,?,?,?
balance-scale,6,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,1,61,0,1.612903,98.387097,0,-0.227524,0.393511,0.525792,122.966817,131.442007,143.975628,632.325692,-488.350064,2.322188,10.198801,-7.876614,-16.929997,-0.273064,-729.139495,0.083333,1,0.56,28,0.44,22,0.916667,11,0.034483,0.083333,0.04878,-0.377428,0.183333,0.145117,0.016129,0.243884,0.756116,0.983871,0.006674,0.016129,0.009441,-0.223405,0.10397,0.144263,0.009756,0.016129,0,0.001,0,0,0,0,42541,40704,6135,4.83871,58.387097,?,?,?,?
balance-scale,6,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.209756,0.390174,0.51453,121.924109,128.626708,143.975628,619.61407,-475.638442,2.322188,9.993775,-7.671588,-15.53231,-0.250521,-668.944039,0.166667,2,0.52,26,0.48,24,0.833333,10,0.071429,0.166667,0.1,-0.280506,0.255833,0.169208,0.032258,0.242462,0.757538,0.967742,0.013825,0.032258,0.019355,-0.212572,0.109075,0.150534,0.02,0.032258,0,0.001,0,0,0,0,42349,40704,6135,8.064516,62.258065,?,?,?,?
balance-scale,6,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,3,59,0,4.83871,95.16129,0,-0.189593,0.392011,0.531251,122.498077,132.806897,143.975628,613.996227,-470.020599,2.322188,9.903165,-7.580977,-16.400474,-0.264524,-706.334068,0.25,3,0.44,22,0.56,28,0.75,9,0.12,0.25,0.162162,-0.153024,0.360833,0.184643,0.048387,0.238591,0.761409,0.951613,0.023226,0.048387,0.031386,-0.183676,0.127528,0.150961,0.032432,0.048387,0,0.001,0,0,0,0,42493,40704,6135,6.451613,55.16129,?,?,?,?
balance-scale,7,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,5,58,0,7.936508,92.063492,0,-0.146893,0.382201,0.507725,119.432882,126.925588,146.29757,594.518214,-448.220644,2.322184,9.436797,-7.114613,-12.093625,-0.191962,-520.847099,0.416667,5,0.490196,25,0.509804,26,0.583333,7,0.166667,0.416667,0.238095,-0.057812,0.408497,0.219212,0.079365,0.227208,0.772792,0.920635,0.031746,0.079365,0.045351,-0.16568,0.145036,0.155294,0.047619,0.079365,0,0.002,0,0,0,0,42280,40635,6204,14.285714,65.079365,?,?,?,?
balance-scale,7,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,1,62,0,1.587302,98.412698,0,-0.229075,0.395342,0.520688,123.539257,130.166273,146.29757,662.543227,-516.245656,2.322184,10.516559,-8.194375,-18.10558,-0.28739,-779.769386,0.083333,1,0.470588,24,0.529412,27,0.916667,11,0.04,0.083333,0.054054,-0.310821,0.191993,0.147284,0.015873,0.245285,0.754715,0.984127,0.007619,0.015873,0.010296,-0.226169,0.077398,0.139723,0.010811,0.015873,0,0.001,0,0,0,0,42288,40635,6204,3.174603,62.222222,?,?,?,?
balance-scale,7,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,3,60,0,4.761905,95.238095,0,-0.185696,0.392091,0.536683,122.523156,134.164839,146.29757,625.610727,-479.313157,2.322184,9.930329,-7.608145,-16.617915,-0.263776,-715.698786,0.25,3,0.588235,30,0.411765,21,0.75,9,0.090909,0.25,0.133333,-0.265936,0.352941,0.168396,0.047619,0.233894,0.766106,0.952381,0.017316,0.047619,0.025397,-0.192664,0.121578,0.144431,0.026667,0.047619,0,0.001,0,0,0,0,42264,40635,6204,6.349206,54.920635,?,?,?,?
balance-scale,7,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,3,60,0,4.761905,95.238095,0,-0.186813,0.391785,0.526053,122.427716,131.5073,146.29757,631.807141,-485.509571,2.322184,10.028685,-7.706501,-16.381636,-0.260026,-705.522746,0.25,3,0.529412,27,0.470588,24,0.75,9,0.1,0.25,0.142857,-0.219686,0.296569,0.149511,0.047619,0.23507,0.76493,0.952381,0.019048,0.047619,0.027211,-0.19392,0.111248,0.140713,0.028571,0.047619,0,0.001,0,0,0,0,42280,40635,6204,6.349206,58.730159,?,?,?,?
balance-scale,7,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,4,59,0,6.349206,93.650794,0,-0.1685,0.391774,0.53156,122.424241,132.884063,146.29757,628.483187,-482.185617,2.322184,9.975924,-7.65374,-16.447278,-0.261068,-708.349814,0.25,3,0.490196,25,0.509804,26,0.75,9,0.107143,0.25,0.15,-0.189814,0.301471,0.153731,0.063492,0.232512,0.767488,0.936508,0.071995,0.063492,0.052848,-0.163377,0.1208,0.14549,0.053529,0.063492,0,0.001,0,0,0,0,42288,40635,6204,6.349206,56.825397,?,?,?,?
balance-scale,7,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.209363,0.391375,0.527949,122.299528,131.981226,143.975628,608.206593,-464.230965,2.322188,9.809784,-7.487596,-16.477899,-0.265773,-709.668589,0.076923,1,0.387755,19,0.612245,30,0.923077,12,0.05,0.076923,0.060606,-0.27068,0.270801,0.157514,0.032258,0.241646,0.758354,0.967742,0.049194,0.032258,0.035478,-0.198589,0.138344,0.143154,0.035651,0.032258,0,0.002,0,0,0,0,42389,40704,6135,8.064516,56.451613,?,?,?,?
balance-scale,7,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.211726,0.395986,0.53106,123.740383,132.759003,143.975628,639.624745,-495.649117,2.322188,10.316528,-7.994341,-18.194582,-0.293461,-783.602542,0.076923,1,0.489796,24,0.510204,25,0.923077,12,0.04,0.076923,0.052632,-0.342622,0.207221,0.150815,0.032258,0.244095,0.755905,0.967742,0.056774,0.032258,0.035229,-0.197463,0.088588,0.13603,0.035526,0.032258,0,0.001,0,0,0,0,42349,40704,6135,3.225806,58.387097,?,?,?,?
balance-scale,7,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.212121,0.390421,0.528186,122.001465,132.040612,143.975628,606.289296,-462.313668,2.322188,9.77886,-7.456672,-15.733171,-0.253761,-677.594716,0.153846,2,0.469388,23,0.530612,26,0.846154,11,0.08,0.153846,0.105263,-0.261852,0.320251,0.161446,0.032258,0.244095,0.755905,0.967742,0.016774,0.032258,0.022071,-0.212072,0.138769,0.142304,0.021053,0.032258,0,0.001,0,0,0,0,42341,40704,6135,8.064516,55.806452,?,?,?,?
balance-scale,7,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,4,58,0,6.451613,93.548387,0,-0.172481,0.389205,0.519218,121.621293,129.798623,143.975628,613.216028,-469.2404,2.322188,9.890581,-7.568394,-14.992861,-0.24182,-645.711104,0.230769,3,0.571429,28,0.428571,21,0.769231,10,0.096774,0.230769,0.136364,-0.27735,0.27865,0.161738,0.064516,0.236761,0.763239,0.935484,0.068678,0.064516,0.052786,-0.165604,0.106705,0.145522,0.052273,0.064516,0,0.001,0,0,0,0,42357,40704,6135,8.064516,60,?,?,?,?
balance-scale,7,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,3,59,0,4.83871,95.16129,0,-0.194254,0.393214,0.532348,122.87421,133.080992,143.975628,625.484555,-481.508927,2.322188,10.088461,-7.766273,-16.714434,-0.269588,-719.855635,0.230769,3,0.44898,22,0.55102,27,0.769231,10,0.12,0.230769,0.157895,-0.181082,0.319466,0.212403,0.048387,0.242265,0.757735,0.951613,0.025161,0.048387,0.033107,-0.200291,0.11582,0.153108,0.031579,0.048387,0,0.001,0,0,0,0,42357,40704,6135,4.83871,56.774194,?,?,?,?
balance-scale,8,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,0,63,0,0,100,0,-0.249685,0.396369,0.525623,123.860158,131.400025,146.29757,658.985509,-512.687939,2.322184,10.460087,-8.137904,-18.758609,-0.297756,-807.894009,0,0,0.431373,22,0.568627,29,1,12,0,0,0,-0.355324,0.156863,0.129267,0,0.249804,0.750196,1,0,0,0,-0.245409,0.073632,0.134987,0,0,0,0.001,0,0,0,0,42288,40635,6204,3.174603,60.634921,?,?,?,?
balance-scale,8,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,0,63,0,0,100,0,-0.247329,0.399735,0.524855,124.912013,131.207971,146.29757,672.149209,-525.851639,2.322184,10.669035,-8.346851,-20.217519,-0.320913,-870.726193,0,0,0.509804,26,0.490196,25,1,12,0,0,0,-0.406622,0.185458,0.147756,0,0.247451,0.752549,1,0,0,0,-0.238147,0.07653,0.148863,0,0,0,0.001,0,0,0,0,42280,40635,6204,0,58.412698,?,?,?,?
balance-scale,8,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,2,61,0,3.174603,96.825397,0,-0.206215,0.39214,0.522967,122.538733,130.736056,146.29757,634.020718,-487.723148,2.322184,10.063821,-7.741637,-16.713021,-0.265286,-719.794813,0.166667,2,0.607843,31,0.392157,20,0.833333,10,0.060606,0.166667,0.088889,-0.346873,0.284314,0.158703,0.031746,0.238413,0.761587,0.968254,0.011544,0.031746,0.016931,-0.206768,0.106166,0.14877,0.017778,0.031746,0,0.001,0,0,0,0,42280,40635,6204,6.349206,60.634921,?,?,?,?
balance-scale,8,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,4,59,0,6.349206,93.650794,0,-0.164839,0.389017,0.530331,121.562589,132.576802,146.29757,621.601956,-475.304385,2.322184,9.866698,-7.544514,-14.938714,-0.237122,-643.379101,0.333333,4,0.529412,27,0.470588,24,0.666667,8,0.129032,0.333333,0.186047,-0.15401,0.366013,0.195919,0.063492,0.228982,0.771018,0.936508,0.024578,0.063492,0.035437,-0.182293,0.123368,0.147199,0.037209,0.063492,0,0.002,0,0,0,0,42288,40635,6204,7.936508,58.095238,?,?,?,?
balance-scale,8,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,4,59,0,6.349206,93.650794,0,-0.166667,0.387451,0.523688,121.073479,130.916303,146.29757,606.787862,-460.490292,2.322184,9.631553,-7.30937,-14.416766,-0.228838,-620.899904,0.333333,4,0.54902,28,0.45098,23,0.666667,8,0.125,0.333333,0.181818,-0.169411,0.385621,0.18005,0.063492,0.230943,0.769057,0.936508,0.02381,0.063492,0.034632,-0.176608,0.136701,0.150821,0.036364,0.063492,0,0.002,0,0,0,0,42312,40635,6204,9.52381,58.730159,?,?,?,?
balance-scale,8,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.210543,0.392503,0.531449,122.652066,132.856237,143.975628,619.880231,-475.904603,2.322188,9.998068,-7.675881,-16.766605,-0.270429,-722.102552,0.153846,2,0.44898,22,0.55102,27,0.846154,11,0.083333,0.153846,0.108108,-0.246655,0.375196,0.194723,0.032258,0.242462,0.757538,0.967742,0.017473,0.032258,0.022668,-0.211219,0.125023,0.147976,0.021622,0.032258,0,0.001,0,0,0,0,42341,40704,6135,6.451613,57.096774,?,?,?,?
balance-scale,8,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.214892,0.392153,0.520371,122.54255,130.086963,143.975628,632.013019,-488.037391,2.322188,10.193758,-7.871571,-16.49707,-0.266082,-710.494223,0.153846,2,0.591837,29,0.408163,20,0.846154,11,0.064516,0.153846,0.090909,-0.356593,0.208006,0.153636,0.032258,0.246952,0.753048,0.967742,0.013528,0.032258,0.019062,-0.216158,0.100263,0.142907,0.018182,0.032258,0,0.001,0,0,0,0,42341,40704,6135,6.451613,61.290323,?,?,?,?
balance-scale,8,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,5,57,0,8.064516,91.935484,0,-0.153771,0.385306,0.517968,120.402988,129.486105,143.975628,592.812881,-448.837254,2.322188,9.561498,-7.239311,-13.10947,-0.211443,-564.597412,0.384615,5,0.530612,26,0.469388,23,0.615385,8,0.16129,0.384615,0.227273,-0.118864,0.438776,0.219668,0.080645,0.233706,0.766294,0.919355,0.033819,0.080645,0.047654,-0.166315,0.143473,0.152207,0.045455,0.080645,0,0.001,0,0,0,0,42357,40704,6135,11.290323,60.645161,?,?,?,?
balance-scale,8,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,1,61,0,1.612903,98.387097,0,-0.231521,0.397766,0.539995,124.296679,134.992762,143.975628,641.564425,-497.588798,2.322188,10.347813,-8.025626,-18.989122,-0.306276,-817.821704,0.076923,1,0.428571,21,0.571429,28,0.923077,12,0.045455,0.076923,0.057143,-0.299183,0.220565,0.148501,0.016129,0.247558,0.752442,0.983871,0.009531,0.016129,0.011982,-0.229034,0.098621,0.137484,0.011429,0.016129,0,0.001,0,0,0,0,42341,40704,6135,1.612903,53.870968,?,?,?,?
balance-scale,8,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,563,62,2,60,0,3.225806,96.774194,0,-0.21015,0.390373,0.520462,121.98625,130.109587,143.975628,612.043052,-468.067424,2.322188,9.871662,-7.549475,-15.723624,-0.253607,-677.18356,0.153846,2,0.367347,18,0.632653,31,0.846154,11,0.1,0.153846,0.121212,-0.185921,0.369702,0.197557,0.032258,0.242054,0.757946,0.967742,0.020968,0.032258,0.025415,-0.205866,0.134944,0.151065,0.024242,0.032258,0,0.001,0,0,0,0,42357,40704,6135,8.064516,58.387097,?,?,?,?
balance-scale,9,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,4,59,0,6.349206,93.650794,0,-0.171078,0.388977,0.52764,121.550084,131.904061,146.29757,609.020801,-462.723231,2.322184,9.666997,-7.344813,-15.505522,-0.246119,-667.790373,0.230769,3,0.46,23,0.54,27,0.769231,10,0.115385,0.230769,0.153846,-0.188427,0.361538,0.181707,0.063492,0.23408,0.76592,0.936508,0.065079,0.063492,0.054674,-0.165954,0.133794,0.147009,0.052991,0.063492,0,0.001,0,0,0,0,42272,40635,6204,9.52381,57.777778,?,?,?,?
balance-scale,9,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,3,60,0,4.761905,95.238095,0,-0.190926,0.390665,0.517566,122.077569,129.38569,146.29757,626.119761,-479.822191,2.322184,9.938409,-7.616225,-16.079317,-0.255227,-692.502496,0.153846,2,0.56,28,0.44,22,0.846154,11,0.066667,0.153846,0.093023,-0.329101,0.174615,0.15617,0.047619,0.238207,0.761793,0.952381,0.043235,0.047619,0.03983,-0.184401,0.091594,0.140681,0.038605,0.047619,0,0.002,0,0,0,0,42280,40635,6204,7.936508,63.174603,?,?,?,?
balance-scale,9,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,5,58,0,7.936508,92.063492,0,-0.154138,0.383394,0.519585,119.805526,129.890453,146.29757,594.175533,-447.877963,2.322184,9.431358,-7.109174,-12.335223,-0.195797,-531.252221,0.384615,5,0.6,30,0.4,20,0.615385,8,0.142857,0.384615,0.208333,-0.175412,0.374615,0.180461,0.079365,0.233091,0.766909,0.920635,0.029478,0.079365,0.042989,-0.174107,0.144914,0.145396,0.041667,0.079365,0.001,0.001,0,0,0,0,42280,40635,6204,12.698413,60.952381,?,?,?,?
balance-scale,9,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,1,62,0,1.587302,98.412698,0,-0.229462,0.395635,0.532185,123.630814,133.040238,146.29757,652.249508,-505.951938,2.322184,10.353167,-8.030983,-18.26961,-0.289994,-786.833816,0.076923,1,0.48,24,0.52,26,0.923077,12,0.04,0.076923,0.052632,-0.333413,0.197692,0.147316,0.015873,0.245285,0.754715,0.984127,0.008254,0.015873,0.01086,-0.227765,0.086365,0.136103,0.010526,0.015873,0,0.001,0,0,0,0,42328,40635,6204,3.174603,58.412698,?,?,?,?
balance-scale,9,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1333,562,63,2,61,0,3.174603,96.825397,0,-0.210394,0.393985,0.525587,123.115138,131.390895,146.29757,641.330187,-495.032617,2.322184,10.179844,-7.857661,-17.466269,-0.277242,-752.235626,0.153846,2,0.5,25,0.5,25,0.846154,11,0.074074,0.153846,0.1,-0.283069,0.327692,0.165226,0.031746,0.241942,0.758058,0.968254,0.015285,0.031746,0.020635,-0.207618,0.107762,0.143022,0.02,0.031746,0,0.001,0,0,0,0,42288,40635,6204,4.761905,58.412698,?,?,?,?
