@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 7\nSize of the tree: 9\n','Number of leaves: 11\nSize of the tree: 14\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

balance-scale,1,10,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,14,48,0,22.580645,77.419355,0,0.032195,0.318006,0.406548,99.37265,101.632453,143.975628,149.763058,-5.78743,2.322188,2.415533,-0.093346,9.732634,0.156978,419.164145,0.583333,7,0.54,27,0.46,23,0.416667,5,0.205882,0.583333,0.304348,0.034402,0.5225,0.200182,0.225806,0.193562,0.806438,0.774194,0.164272,0.225806,0.158716,0.021768,0.418499,0.185153,0.158124,0.225806,0,0,0,0,0,0,4187,40704,6135,98.387097,98.709677,?,?,?,?
balance-scale,2,1,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,13,50,0,20.634921,79.365079,0,0.009745,0.317687,0.406125,99.272964,101.526812,146.29757,152.164047,-5.866477,2.322184,2.415302,-0.093119,10.37494,0.164682,446.826919,0.5,6,0.45098,23,0.54902,28,0.5,6,0.206897,0.5,0.292683,0.03862,0.502451,0.198574,0.206349,0.196545,0.803455,0.793651,0.092907,0.206349,0.127971,-0.016902,0.445331,0.193383,0.128537,0.206349,0,0,0,0,0,0,4187,40635,6204,96.825397,97.460317,?,?,?,?
balance-scale,2,2,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,16,47,0,25.396825,74.603175,0,0.067989,0.314997,0.403667,98.432425,100.912186,146.29757,148.526667,-2.229096,2.322184,2.357566,-0.035382,12.186115,0.19343,524.83046,0.833333,10,0.313725,16,0.686275,35,0.166667,2,0.384615,0.833333,0.526316,0.414442,0.651144,0.267932,0.253968,0.187302,0.812698,0.746032,0.111951,0.253968,0.155277,0.020552,0.424189,0.188872,0.158596,0.253968,0,0.001,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,2,3,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,13,50,0,20.634921,79.365079,0,0.009745,0.315917,0.404539,98.719969,101.130234,146.29757,148.993335,-2.695765,2.322184,2.364974,-0.04279,11.280597,0.179057,485.831667,0.833333,10,0.411765,21,0.588235,30,0.166667,2,0.322581,0.833333,0.465116,0.331122,0.642157,0.253885,0.206349,0.198114,0.801886,0.793651,0.100994,0.206349,0.131795,-0.014309,0.440426,0.194643,0.134895,0.206349,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,2,4,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,18,45,0,28.571429,71.428571,0,0.109331,0.312778,0.398298,97.738967,99.570093,146.29757,142.918814,3.378757,2.322184,2.268553,0.053631,11.88164,0.188597,511.71734,0.75,9,0.392157,20,0.607843,31,0.25,3,0.310345,0.75,0.439024,0.281923,0.669118,0.257196,0.285714,0.176303,0.823697,0.714286,0.159943,0.285714,0.197607,0.072571,0.487796,0.211445,0.198281,0.285714,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,2,5,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,13,50,0,20.634921,79.365079,0,0.012849,0.318514,0.408625,99.531342,102.151704,146.29757,154.350981,-8.053411,2.322184,2.450016,-0.127832,10.405498,0.165167,448.143004,0.833333,10,0.54902,28,0.45098,23,0.166667,2,0.263158,0.833333,0.4,0.228198,0.510621,0.194306,0.206349,0.194192,0.805808,0.793651,0.088816,0.206349,0.118883,-0.016939,0.390563,0.174414,0.121379,0.206349,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,2,6,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,17,45,0,27.419355,72.580645,0,0.092092,0.312113,0.398698,97.531306,99.670096,143.975628,141.508662,2.466966,2.322188,2.282398,0.03979,13.164916,0.212337,566.985337,0.769231,10,0.306122,15,0.693878,34,0.230769,3,0.4,0.769231,0.526316,0.38431,0.630298,0.267682,0.274194,0.181132,0.818868,0.725806,0.150041,0.274194,0.18991,0.059717,0.486287,0.209198,0.187469,0.274194,0,0.001,0,0,0,0,4187,40704,6135,100,99.677419,?,?,?,?
balance-scale,2,7,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,18,44,0,29.032258,70.967742,0,0.111111,0.307901,0.392181,96.214881,98.040828,143.975628,135.268302,8.707326,2.322188,2.181747,0.140441,14.825996,0.239129,638.524578,0.846154,11,0.326531,16,0.673469,33,0.153846,2,0.407407,0.846154,0.55,0.426621,0.756672,0.410697,0.290323,0.178486,0.821514,0.709677,0.172521,0.290323,0.213633,0.079186,0.545826,0.252703,0.211587,0.290323,0,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
balance-scale,2,8,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,15,47,0,24.193548,75.806452,0,0.050196,0.309682,0.395158,96.771526,98.784996,143.975628,137.834537,6.141091,2.322188,2.223138,0.09905,13.582163,0.219067,584.955294,0.923077,12,0.408163,20,0.591837,29,0.076923,1,0.375,0.923077,0.533333,0.419439,0.655416,0.274652,0.241935,0.190099,0.809901,0.758065,0.110887,0.241935,0.150538,0.033072,0.520945,0.220396,0.146667,0.241935,0,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
balance-scale,2,9,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,13,49,0,20.967742,79.032258,0,0.011068,0.312577,0.399658,97.675997,99.909937,143.975628,142.035164,1.940464,2.322188,2.29089,0.031298,12.584476,0.202975,541.987008,0.692308,9,0.346939,17,0.653061,32,0.307692,4,0.346154,0.692308,0.461538,0.284915,0.690738,0.293024,0.209677,0.197433,0.802567,0.790323,0.106241,0.209677,0.141014,-0.011401,0.475734,0.206838,0.138022,0.209677,0.001,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
balance-scale,2,10,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,14,48,0,22.580645,77.419355,0,0.030935,0.312348,0.398577,97.604449,99.639825,143.975628,142.88347,1.092158,2.322188,2.304572,0.017615,12.754436,0.205717,549.306816,0.692308,9,0.408163,20,0.591837,29,0.307692,4,0.310345,0.692308,0.428571,0.231821,0.542386,0.225364,0.225806,0.19397,0.80603,0.774194,0.117858,0.225806,0.152233,0.020993,0.510816,0.217338,0.150164,0.225806,0,0,0,0,0,0,4187,40704,6135,98.387097,99.032258,?,?,?,?
balance-scale,3,1,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,17,46,0,26.984127,73.015873,0,0.089538,0.312928,0.400185,97.785754,100.041808,146.29757,145.554158,0.743412,2.322184,2.310383,0.0118,13.233078,0.210049,569.920931,0.833333,10,0.45098,23,0.54902,28,0.166667,2,0.30303,0.833333,0.444444,0.300623,0.603758,0.230643,0.269841,0.180822,0.819178,0.730159,0.123377,0.269841,0.167196,0.044612,0.479353,0.20664,0.168889,0.269841,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,3,2,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,14,49,0,22.222222,77.777778,0,0.03016,0.315397,0.403718,98.557307,100.925064,146.29757,148.306611,-2.009041,2.322184,2.354073,-0.03189,11.757327,0.186624,506.363431,0.833333,10,0.411765,21,0.588235,30,0.166667,2,0.322581,0.833333,0.465116,0.331122,0.648693,0.278961,0.222222,0.193203,0.806797,0.777778,0.293587,0.222222,0.151534,0.034303,0.440153,0.195396,0.154027,0.222222,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
