@relation InstanceResultListener

@attribute Key_Dataset {car}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

car,1,1,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,160,13,0,92.485549,7.514451,0,0.830609,0.119227,0.20143,52.065966,59.58171,207.771695,78.987359,128.784337,1.200992,0.456574,0.744418,126.392546,0.730593,10437.864458,0.991736,120,0.038462,2,0.961538,50,0.008264,1,0.983607,0.991736,0.987654,0.958621,0.999444,0.999736,0.924855,0.045407,0.954593,0.075145,0.89641,0.924855,0.905657,0.877118,0.997392,0.985071,0.626224,0.924855,0,0.236,0,0.234375,0,234.375,136088,134291,16821,100,55.202312,?,1
car,1,2,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,158,15,0,91.32948,8.67052,0,0.798837,0.11573,0.201499,50.538627,59.60217,207.771695,77.347684,130.424011,1.200992,0.447096,0.753896,128.378647,0.742073,10601.882476,1,121,0.115385,6,0.884615,46,0,0,0.952756,1,0.975806,0.918054,0.999921,0.999932,0.913295,0.095844,0.904156,0.086705,0.878187,0.913295,0.893933,0.841406,0.994891,0.97347,0.647655,0.913295,0,0.233,0,0.21875,0,218.75,136096,134291,16821,100,53.901734,?,1
car,1,3,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,161,12,0,93.063584,6.936416,0,0.841478,0.102817,0.187271,44.899564,55.393594,207.771695,68.126326,139.645369,1.200992,0.393794,0.807199,138.334277,0.79962,11424.047387,1,121,0.076923,4,0.923077,48,0,0,0.968,1,0.98374,0.945272,1,1,0.930636,0.06726,0.93274,0.069364,0.935677,0.930636,0.918354,0.886919,0.997412,0.991353,0.72185,0.930636,0,0.232,0,0.21875,0,218.75,136096,134291,16821,100,52.312139,?,1
car,1,4,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,159,14,0,91.907514,8.092486,0,0.815747,0.109357,0.194415,47.755575,57.506635,207.771695,72.759113,135.012582,1.200992,0.420573,0.78042,133.105269,0.769395,10992.220648,0.991736,120,0.076923,4,0.923077,48,0.008264,1,0.967742,0.991736,0.979592,0.930931,0.999762,0.999864,0.919075,0.070625,0.929375,0.080925,0.927342,0.919075,0.906246,0.867126,0.997683,0.985832,0.682398,0.919075,0,0.246,0,0.203125,0,203.125,136096,134291,16821,100,52.745665,?,1
car,1,5,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,162,11,0,93.641618,6.358382,0,0.855801,0.109344,0.1928,47.65146,56.896828,210.310948,72.361988,137.94896,1.21567,0.418277,0.797393,136.913885,0.79141,11321.992287,1,121,0.076923,4,0.923077,48,0,0,0.968,1,0.98374,0.945272,1,1,0.936416,0.065191,0.934809,0.063584,0.940117,0.936416,0.930822,0.897887,0.997463,0.988367,0.792943,0.936416,0,0.236,0,0.25,0,250,136088,134291,16821,100,53.901734,?,1
car,1,6,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,164,9,0,94.797688,5.202312,0,0.883936,0.110163,0.188905,48.008655,55.747294,210.310948,71.425566,138.885382,1.21567,0.412865,0.802806,137.135491,0.792691,11340.317773,1,121,0.019231,1,0.980769,51,0,0,0.991803,1,0.995885,0.986271,1,1,0.947977,0.026467,0.973533,0.052023,0.955218,0.947977,0.936213,0.928391,0.999122,0.99647,0.742696,0.947977,0,0.227,0,0.21875,0,218.75,136088,134291,16821,100,55.491329,?,1
car,1,7,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,165,8,0,95.375723,4.624277,0,0.896267,0.119472,0.201152,52.065402,59.361474,210.310948,80.629145,129.681803,1.21567,0.466064,0.749606,127.34613,0.736105,10530.793808,1,121,0.057692,3,0.942308,49,0,0,0.975806,1,0.987755,0.958911,1,1,0.953757,0.048487,0.951513,0.046243,0.955622,0.953757,0.94961,0.924885,0.994408,0.979234,0.852067,0.953757,0,0.233,0,0.234375,0,234.375,136088,134291,16821,100,56.791908,?,1
car,1,8,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,162,11,0,93.641618,6.358382,0,0.856367,0.11471,0.199734,49.990031,58.943118,210.310948,76.919899,133.391049,1.21567,0.444624,0.771047,131.092825,0.757762,10840.624008,1,121,0.057692,3,0.942308,49,0,0,0.975806,1,0.987755,0.958911,1,1,0.936416,0.053368,0.946632,0.063584,0.942213,0.936416,0.924516,0.90104,0.996834,0.984949,0.733821,0.936416,0,0.235,0,0.21875,0,218.75,136080,134291,16821,100,53.612717,?,1
car,1,9,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1556,172,163,9,0,94.767442,5.232558,0,0.880675,0.107034,0.188848,46.909057,56.08641,205.704619,70.282265,135.422354,1.195957,0.408618,0.787339,134.127884,0.779813,11071.599133,1,121,0.058824,3,0.941176,48,0,0,0.975806,1,0.987755,0.958335,1,1,0.947674,0.051274,0.948726,0.052326,0.915765,0.947674,0.931333,0.903376,0.997121,0.985464,0.718458,0.947674,0,0.233,0,0.21875,0,218.75,136173,134376,16736,100,53.197674,?,1
car,1,10,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1556,172,162,10,0,94.186047,5.813953,0,0.867784,0.114266,0.196296,50.080008,58.300555,205.600818,74.783151,130.817667,1.195354,0.434786,0.760568,128.608528,0.747724,10615.476105,0.991736,120,0.078431,4,0.921569,47,0.008264,1,0.967742,0.991736,0.979592,0.929955,1,1,0.94186,0.065068,0.934932,0.05814,0.944167,0.94186,0.937868,0.896695,0.997991,0.988736,0.840119,0.94186,0,0.233,0,0.21875,0,218.75,136157,134376,16736,100,53.633721,?,1
car,2,1,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1647,1555,173,161,12,0,93.063584,6.936416,0,0.843439,0.111236,0.19387,48.576001,57.345548,207.771695,72.938078,134.833617,1.200992,0.421607,0.779385,132.723127,0.767186,10960.662225,0.991736,120,0.057692,3,0.942308,49,0.008264,1,0.97561,0.991736,0.983607,0.944765,0.999046,0.999541,0.930636,0.055492,0.944508,0.069364,0.937854,0.930636,0.919046,0.887753,0.997236,0.990417,0.722687,0.930636,0,0.228,0,0.21875,0,218.75,136088,134291,16821,100,53.757225,?,1
