@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

chess,1,10,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1709,25251,2805,1774,1031,0,63.244207,36.755793,0,0.590139,0.052527,0.166052,52.781128,74.442022,9825.626785,6267.671956,3557.954829,3.502897,2.234464,1.268433,6379.062775,2.274176,181970.397116,0.95,266,0.071287,180,0.928713,2345,0.05,14,0.596413,0.95,0.732782,0.72032,0.981321,0.815846,0.632442,0.039158,0.960842,0.367558,0.638462,0.632442,0.629782,0.593636,0.920142,0.650507,0.570571,0.632442,0.006,61.109,0,60.0625,0,60062.5,2150525,2148696,240786,92.01426,13.164983,?,4
chess,2,1,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.171,25250,2806,1689,1117,0,60.192445,39.807555,0,0.556246,0.054755,0.170738,55.02038,76.544124,9830.386438,6934.404495,2895.981943,3.503345,2.471277,1.032068,6147.66631,2.1909,175372.021306,0.932143,261,0.077197,195,0.922803,2331,0.067857,19,0.572368,0.932143,0.709239,0.694573,0.974165,0.751182,0.601924,0.041739,0.958261,0.398076,0.608703,0.601924,0.599178,0.560585,0.909684,0.621472,0.523803,0.601924,0.002,59.306,0,58.84375,0,58843.75,2150440,2148611,240871,90.805417,13.512711,?,4
chess,2,2,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1711,25250,2806,1739,1067,0,61.974341,38.025659,0,0.57598,0.053583,0.16816,53.842409,75.387126,9831.917606,6628.708605,3203.209001,3.503891,2.362334,1.141557,6302.571383,2.246105,179794.043625,0.928571,260,0.065321,165,0.934679,2361,0.071429,20,0.611765,0.928571,0.737589,0.721703,0.97964,0.787451,0.619743,0.040451,0.959549,0.380257,0.623813,0.619743,0.617258,0.57907,0.914244,0.636822,0.542245,0.619743,0.003,62.898,0.015625,60.984375,15.625,60984.375,2150440,2148611,240871,91.304348,13.338481,?,4
chess,2,3,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1712,25250,2806,1714,1092,0,61.083393,38.916607,0,0.565784,0.054131,0.169678,54.392185,76.067661,9833.547903,6786.405511,3047.142392,3.504472,2.418534,1.085938,6239.028885,2.22346,177984.651855,0.935714,262,0.064925,164,0.935075,2362,0.064286,18,0.615023,0.935714,0.74221,0.727303,0.971124,0.75295,0.610834,0.041159,0.958841,0.389166,0.614249,0.610834,0.607423,0.56916,0.910979,0.624745,0.561912,0.610834,0.003,68.266,0,66.15625,0,66156.25,2150440,2148611,240871,91.019244,13.290964,?,4
chess,2,4,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1714,25250,2806,1736,1070,0,61.867427,38.132573,0,0.574933,0.053685,0.168798,53.942496,75.669492,9835.258265,6801.868229,3033.390036,3.505081,2.424044,1.081037,6250.933394,2.227703,178327.70321,0.956989,267,0.062525,158,0.937475,2369,0.043011,12,0.628235,0.956989,0.758523,0.74661,0.98216,0.803377,0.618674,0.040129,0.959871,0.381326,0.620309,0.618674,0.614661,0.576902,0.912202,0.632229,0.549077,0.618674,0.003,67.896,0,65.90625,0,65906.25,2150448,2148611,240871,90.912331,13.269185,?,4
chess,2,5,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1715,25250,2806,1784,1022,0,63.578047,36.421953,0,0.594009,0.052523,0.166329,52.774365,74.561758,9835.781719,6340.544278,3495.237441,3.505268,2.259638,1.24563,6421.733629,2.288572,183201.404567,0.946237,264,0.068856,174,0.931144,2353,0.053763,15,0.60274,0.946237,0.736402,0.723377,0.971952,0.746476,0.63578,0.038934,0.961066,0.36422,0.640363,0.63578,0.632908,0.596544,0.920664,0.646787,0.588597,0.63578,0.003,69.352,0,66.59375,0,66593.75,2150448,2148611,240871,91.803279,13.100895,?,4
chess,2,6,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1716,25250,2806,1757,1049,0,62.615823,37.384177,0,0.583052,0.053085,0.167252,53.338306,74.97518,9837.080032,6599.454675,3237.625357,3.505731,2.351908,1.153822,6324.342048,2.253864,180425.608477,0.921147,257,0.066878,169,0.933122,2358,0.078853,22,0.603286,0.921147,0.729078,0.712371,0.96983,0.744543,0.626158,0.039457,0.960543,0.373842,0.631148,0.626158,0.623882,0.586963,0.913982,0.643599,0.551023,0.626158,0.003,68.226,0,66,0,66000,2150440,2148611,240871,91.304348,13.205829,?,4
chess,2,7,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1717,25251,2805,1695,1110,0,60.427807,39.572193,0,0.559105,0.053604,0.16905,53.860893,75.783042,9831.719311,6917.758002,2913.961309,3.505069,2.466224,1.038845,6247.491514,2.22727,178229.439583,0.946237,264,0.063341,160,0.936659,2366,0.053763,15,0.622642,0.946237,0.751067,0.737675,0.982787,0.813615,0.604278,0.040671,0.959329,0.395722,0.608392,0.604278,0.6015,0.562929,0.910399,0.628224,0.474449,0.604278,0.003,69.112,0.015625,65.703125,15.625,65703.125,2150525,2148696,240786,90.588235,13.196673,?,4
chess,2,8,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1718,25251,2805,1720,1085,0,61.319073,38.680927,0,0.568118,0.053874,0.169616,54.134871,76.040373,9826.009895,6840.335218,2985.674676,3.503034,2.438622,1.064412,6238.630574,2.224111,177965.153827,0.928571,260,0.072475,183,0.927525,2342,0.071429,20,0.586907,0.928571,0.719225,0.703705,0.972646,0.749757,0.613191,0.042184,0.957816,0.386809,0.6173,0.613191,0.609592,0.571036,0.91022,0.625814,0.53821,0.613191,0.003,69.114,0,66.421875,0,66421.875,2150525,2148696,240786,90.83779,13.202614,?,4
chess,2,9,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1719,25251,2805,1724,1081,0,61.461676,38.538324,0,0.569898,0.054234,0.170147,54.496154,76.278377,9826.009895,7159.086139,2666.923756,3.503034,2.552259,0.950775,6180.184071,2.203274,176297.890343,0.939286,263,0.074455,188,0.925545,2337,0.060714,17,0.583149,0.939286,0.719562,0.705747,0.974009,0.758168,0.614617,0.041884,0.958116,0.385383,0.618776,0.614617,0.610577,0.572352,0.908926,0.622486,0.538343,0.614617,0.003,69.665,0,66.5,0,66500,2150525,2148696,240786,90.017825,13.210537,?,4
